伯爵の釵	伯爵の釵
泉鏡花	泉鏡花
このもの語の起った土地は、清きと、美しきと、二筋の大川、市の両端を流れ、真中央に城の天守なお高く聳え、森黒く、濠蒼く、国境の山岳は重畳として、湖を包み、海に沿い、橋と、坂と、辻の柳、甍の浪の町を抱いた、北陸の都である。	此のもの語の起つた土地は、清きと、美しきと、二筋の大川、市の両端を流れ、真中央に城の天守尚ほ高く聳え、森黒く、濠蒼く、国境の山岳は重畳として、湖を包み、海に沿ひ、橋と、坂と、辻の柳、甍の浪の町を抱いた、北陸の都である。
一年、激しい旱魃のあった真夏の事。	一年、激しい旱魃のあつた真夏の事。
……と言うとたちまち、天に可恐しき入道雲｜湧き、地に水論の修羅の巷の流れたように聞えるけれど、決して、そんな、物騒な沙汰ではない。	……と言ふと忽ち、天に可恐しき入道雲湧き、地に水論の修羅の巷の流れたやうに聞えるけれど、決して、そんな、物騒な沙汰ではない。
かかる折から、地方巡業の新劇団、女優を主とした帝都の有名なる大一座が、この土地に七日間の興行して、全市の湧くがごとき人気を博した。	恁る折から、地方巡業の新劇団、女優を主とした帝都の有名なる大一座が、此の土地に七日間の興行して、全市の湧くが如き人気を博した。
極暑の、旱というのに、たといいかなる人気にせよ、湧くの、煮えるのなどは、口にするも暑くるしい。	極暑の、旱と言ふのに、たとひ如何なる人気にせよ、湧くの、煮えるのなどは、口にするも暑くるしい。
が、――諺に、火事の折から土蔵の焼けるのを防ぐのに、大盥に満々と水を湛え、蝋燭に灯を点じたのをその中に立てて目塗をすると、壁を透して煙が裡へ漲っても、火気を呼ばないで安全だと言う。	が、――諺に、火事の折から土蔵の焼けるのを防ぐのに、大盥に満々と水を湛へ、蝋燭に灯を点じたのを其の中に立てて目塗をすると、壁を透して煙が裡へ漲つても、火気を呼ばないで安全だと言ふ。
……火をもって火を制するのだそうである。	……火を以て火を制するのださうである。
ここに女優たちの、近代的情熱の燃ゆるがごとき演劇は、あたかもこの轍だ、と称えて可い。	こゝに女優たちの、近代的情熱の燃ゆるが如き演劇は、恰も此の轍だ、と称へて可い。
雲は焚け、草は萎み、水は涸れ、人は喘ぐ時、一座の劇はさながら褥熱に対する氷のごとく、十万の市民に、一剤、清涼の気を齎らして剰余あった。	雲は焚け、草は萎み、水は涸れ、人は喘ぐ時、一座の劇は宛然褥熱に対する氷の如く、十万の市民に、一｜剤、清涼の気を齎らして剰余あつた。
膚の白さも雪なれば、瞳も露の涼しい中にも、拳って座中の明星と称えられた村井｜紫玉が、	膚の白さも雪なれば、瞳も露の涼しい中にも、挙つて座中の明星と称へられた村井紫玉が、
「まあ……前刻の、あの、小さな児は？」	「まあ……前刻の、あの、小さな児は？」
公園の茶店に、一人｜静に憩いながら、緋塩瀬の煙管筒の結目を解掛けつつ、偶と思った。	公園の茶店に、一人｜静に憩ひながら、緋塩瀬の煙管筒の結目を解掛けつゝ、偶と思つた。
……	……
髷も女優巻でなく、わざとつい通りの束髪で、薄化粧の淡洒した意気造。	髷も女優巻でなく、故とつい通りの束髪で、薄化粧の淡洒した意気造。
形容に合せて、煙草入も、好みで持った気組の婀娜。	形容に合せて、煙草入も、好みで持つた気組の婀娜。
で、見た処は芸妓の内証歩行という風だから、まして女優の、忍びの出、と言っても可い風采。	で、見た処は芸妓の内証歩行と云ふ風だから、まして女優の、忍びの出、と言つても可い風采。
また実際、紫玉はこの日は忍びであった。	また実際、紫玉は此の日は忍びであつた。
演劇は昨日楽になって、座の中には、直ぐに次興行の隣国へ、早く先乗をしたのが多い。	演劇は昨日楽に成つて、座の中には、直ぐに次興行の隣国へ、早く先乗をしたのが多い。
が、地方としては、これまで経歴ったそこかしこより、観光に価値する名所が夥い、と聞いて、中二日ばかりの休暇を、紫玉はこの土地に居残った。	が、地方としては、此まで経歴つた其処彼処より、観光に価値する名所が夥い、と聞いて、中二日ばかりの休暇を、紫玉は此の土地に居残つた。
そして、旅宿に二人附添った、玉野、玉江という女弟子も連れないで、一人で密と、……日盛もこうした身には苦にならず、町中を見つつ漫に来た。	そして、旅宿に二人｜附添つた、玉野、玉江と云ふ女弟子も連れないで、一人で密と、……日盛も恁うした身には苦にならず、町中を見つゝ漫に来た。
惟うに、太平の世の国の守が、隠れて民間に微行するのは、政を聞く時より、どんなにか得意であろう。	惟ふに、太平の世の国の守が、隠れて民間に微行するのは、政を聞く時より、どんなにか得意であらう。
落人のそれならで、そよと鳴る風鈴も、人は昼寝の夢にさえ、我名を呼んで、讃美し、歎賞する、微妙なる音響、と聞えて、その都度、ハッと隠れ忍んで、微笑み微笑み通ると思え。	落人の其ならで、そよと鳴る風鈴も、人は昼寝の夢にさへ、我名を呼んで、讃美し、歎賞する、微妙なる音響、と聞えて、其の都度、ハツと隠れ忍んで、微笑み／＼通ると思へ。
深張の涼傘の影ながら、なお面影は透き、色香は仄めく……心地すれば、誰憚るともなく自然から俯目に俯向く。	深張の涼傘の影ながら、尚ほ面影は透き、色香は仄めく……心地すれば、誰憚るともなく自然から俯目に俯向く。
謙譲の褄はずれは、倨傲の襟より品を備えて、尋常な姿容は調って、焼地に焦りつく影も、水で描いたように涼しくも清爽であった。	謙譲の褄はづれは、倨傲の襟より品を備へて、尋常な姿容は調つて、焼地に焦りつく影も、水で描いたやうに涼しくも清爽であつた。
わずかに畳の縁ばかりの、日影を選んで辿るのも、人は目を睜って、鯨に乗って人魚が通ると見たであろう。	僅少に畳の縁ばかりの、日影を選んで辿るのも、人は目を睜つて、鯨に乗つて人魚が通ると見たであらう。
……素足の白いのが、すらすらと黒繻子の上を辷れば、溝の流も清水の音信。	……素足の白いのが、すら／＼と黒繻子の上を辷れば、溝の流も清水の音信。
で、真先に志したのは、城の櫓と境を接した、三つ二つ、全国に指を屈するという、景勝の公園であった。	で、真先に志したのは、城の櫓と境を接した、三つ二つ、全国に指を屈すると云ふ、景勝の公園であつた。
